"d.hits","wk.hits","adj.d"
1,0,1
31,0,31
31,0,31
18,0,18
1,17,17
30,0,510
59,0,1003
92,0,1564
31,0,527
39,0,663
27,0,459
18,17,17
15,0,14.1666666666667
44,0,41.5555555555556
45,0,42.5
38,0,35.8888888888889
54,0,51
19,0,17.9444444444444
56,12,12
16,0,3.42857142857143
22,0,4.71428571428571
51,0,10.9285714285714
22,0,4.71428571428571
38,0,8.14285714285714
27,0,5.78571428571429
1,13,13
21,0,273
29,0,377
37,0,481
37,0,481
38,0,494
18,0,234
1,15,15
29,0,435
36,0,540
59,0,885
21,0,315
44,0,660
1,0,15
18,20,20
29,0,32.2222222222222
78,0,86.6666666666667
87,0,96.6666666666667
44,0,48.8888888888889
38,0,42.2222222222222
18,0,20
18,27,27
23,0,34.5
36,0,54
44,0,66
88,0,132
38,0,57
18,0,27
1,33,33
14,0,462
79,0,2607
100,0,3300
58,0,1914
75,0,2475
36,0,1188
17,23,23
90,0,121.764705882353
57,0,77.1176470588235
58,0,78.4705882352941
37,0,50.0588235294118
31,0,41.9411764705882
18,0,24.3529411764706
1,11,11
15,0,165
75,0,825
22,0,242
59,0,649
62,0,682
1,0,11
1,11,11
44,0,484
45,0,495
30,0,330
30,0,330
16,0,176
37,0,407
18,16,16
22,0,19.5555555555556
22,0,19.5555555555556
30,0,26.6666666666667
35,0,31.1111111111111
27,0,24
42,0,37.3333333333333
1,23,23
34,0,782
25,0,575
43,0,989
17,0,391
63,0,1449
66,0,1518
22,17,17
34,0,26.2727272727273
51,0,39.4090909090909
35,0,27.0454545454545
53,0,40.9545454545455
74,0,57.1818181818182
23,0,17.7727272727273
1,17,17
60,0,1020
42,0,714
43,0,731
54,0,918
29,0,493
1,0,17
1,11,11
36,0,396
34,0,374
26,0,286
71,0,781
55,0,605
22,0,242
1,14,14
68,0,952
100,0,1400
43,0,602
61,0,854
37,0,518
1,0,14
22,20,20
35,0,31.8181818181818
69,0,62.7272727272727
53,0,48.1818181818182
71,0,64.5454545454545
18,0,16.3636363636364
23,0,20.9090909090909
24,17,17
62,0,43.9166666666667
69,0,48.875
89,0,63.0416666666667
36,0,25.5
37,0,26.2083333333333
1,0,0.708333333333333
23,14,14
79,0,48.0869565217391
36,0,21.9130434782609
29,0,17.6521739130435
51,0,31.0434782608696
86,0,52.3478260869565
27,0,16.4347826086957
28,9,9
1,0,0.321428571428571
80,0,25.7142857142857
30,0,9.64285714285714
20,0,6.42857142857143
21,0,6.75
26,0,8.35714285714286
1,10,10
60,0,600
60,0,600
20,0,200
41,0,410
42,0,420
26,0,260
26,13,13
20,0,10
20,0,10
20,0,10
20,0,10
32,0,16
1,0,0.5
28,16,16
52,0,29.7142857142857
71,0,40.5714285714286
31,0,17.7142857142857
42,0,24
32,0,18.2857142857143
53,0,30.2857142857143
40,14,14
31,0,10.85
61,0,21.35
11,0,3.85
27,0,9.45
23,0,8.05
1,0,0.35
1,16,16
27,0,432
22,0,352
33,0,528
29,0,464
14,0,224
1,0,16
1,7,7
1,0,7
11,0,77
22,0,154
1,0,7
23,0,161
1,0,7
1,13,13
27,0,351
27,0,351
44,0,572
11,0,143
11,0,143
14,0,182
1,14,14
11,0,154
38,0,532
33,0,462
1,0,14
40,0,560
14,0,196
14,19,19
21,0,28.5
21,0,28.5
21,0,28.5
27,0,36.6428571428571
23,0,31.2142857142857
13,0,17.6428571428571
14,21,21
21,0,31.5
32,0,48
21,0,31.5
49,0,73.5
28,0,42
27,0,40.5
1,14,14
16,0,224
21,0,294
43,0,602
43,0,602
22,0,308
27,0,378
20,13,13
22,0,14.3
37,0,24.05
11,0,7.15
11,0,7.15
11,0,7.15
13,0,8.45
20,12,12
10,0,6
21,0,12.6
26,0,15.6
16,0,9.6
11,0,6.6
26,0,15.6
13,18,18
1,0,1.38461538461538
15,0,20.7692307692308
35,0,48.4615384615385
30,0,41.5384615384615
10,0,13.8461538461538
25,0,34.6153846153846
25,22,22
100,0,88
24,0,21.12
30,0,26.4
25,0,22
31,0,27.28
13,0,11.44
1,20,20
25,0,500
45,0,900
50,0,1000
15,0,300
26,0,520
19,0,380
1,16,16
20,0,320
33,0,528
34,0,544
29,0,464
12,0,192
30,0,480
1,18,18
22,0,396
28,0,504
33,0,594
40,0,720
12,0,216
29,0,522
1,22,22
62,0,1364
17,0,374
44,0,968
45,0,990
41,0,902
1,0,22
1,21,21
40,0,840
33,0,693
55,0,1155
22,0,462
53,0,1113
15,0,315
14,17,17
17,0,20.6428571428571
55,0,66.7857142857143
22,0,26.7142857142857
39,0,47.3571428571429
12,0,14.5714285714286
1,0,1.21428571428571
1,24,24
100,0,2400
27,0,648
27,0,648
34,0,816
72,0,1728
45,0,1080
14,15,15
28,0,30
22,0,23.5714285714286
11,0,11.7857142857143
55,0,58.9285714285714
23,0,24.6428571428571
1,0,1.07142857142857
1,19,19
22,0,418
11,0,209
27,0,513
55,0,1045
34,0,646
1,0,19
14,9,9
22,0,14.1428571428571
1,0,0.642857142857143
46,0,29.5714285714286
11,0,7.07142857142857
23,0,14.7857142857143
1,0,0.642857142857143
14,13,13
11,0,10.2142857142857
22,0,20.4285714285714
30,0,27.8571428571429
14,0,13
27,0,25.0714285714286
1,0,0.928571428571429
14,12,12
21,0,18
26,0,22.2857142857143
27,0,23.1428571428571
22,0,18.8571428571429
17,0,14.5714285714286
27,0,23.1428571428571
1,11,11
16,0,176
11,0,121
11,0,121
22,0,242
18,0,198
29,0,319
14,19,19
